ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
59241365,G,1573138,G,,97743,1,2011
13394017,G,254996,G,,20119,2,2011
86533273,G,2108561,G,,130305,4,2011
35312365,G,980644,G,,64471,5,2011
663570657,G,12698427,G,,849316,6,2011
92655142,G,1972271,G,,150889,8,2011
82130924,G,1442620,G,,88040,9,2011
17553103,G,359602,G,,24132,10,2011
32872009,G,477623,G,,21545,11,2011
265463630,G,6732639,G,,490851,12,2011
141481314,G,3328033,G,,214635,13,2011
18362124,G,485548,G,,31472,15,2011
16889380,G,482722,G,,42399,16,2011
245055769,G,5038462,G,,312437,17,2011
94650570,G,2440507,G,,143479,18,2011
46556111,G,1263665,G,,80113,19,2011
43733944,G,1113423,G,,73598,20,2011
54351979,G,1463173,G,,89770,21,2011
65771545,G,1617229,G,,103216,22,2011
17764334,G,479728,G,,40112,23,2011
101300769,G,2104022,G,,133248,24,2011
165193320,G,2960712,G,,169146,25,2011
145830792,G,3379035,G,,217344,26,2011
110750868,G,2393746,G,,144606,27,2011
29585310,G,887772,G,,58592,28,2011
92601836,G,2298295,G,,147274,29,2011
11291642,G,336110,G,,35687,30,2011
29969153,G,797681,G,,51553,31,2011
38743505,G,1000610,G,,58777,32,2011
24369871,G,554001,G,,37031,33,2011
183507386,G,3377848,G,,226878,34,2011
22037682,G,597568,G,,43860,35,2011
435008622,G,7369731,G,,521537,36,2011
131631342,G,3284592,G,,215113,37,2011
12281089,G,306064,G,,22370,38,2011
182110083,G,4432849,G,,250476,39,2011
49373824,G,1261590,G,,89749,40,2011
56092081,G,1341841,G,,106340,41,2011
222252066,G,5078111,G,,295720,42,2011
17274591,G,406222,G,,28181,44,2011
54433127,G,1521123,G,,100481,45,2011
11188600,G,326749,G,,25494,46,2011
91783286,G,2300542,G,,129489,47,2011
414113062,G,8987663,G,,525420,48,2011
39922601,G,1029103,G,,68747,49,2011
9589916,G,264208,G,,21190,50,2011
145346258,G,3029030,G,,191063,51,2011
118647827,G,2355123,G,,173511,53,2011
20681836,G,568344,G,,38150,54,2011
95532272,G,2354284,G,,138045,55,2011
9109733,G,208385,G,,20329,56,2011
57448016,G,1568111,G,,99251,1,2010
12821494,G,254734,G,,19985,2,2010
84030312,G,2065224,G,,131849,4,2010
33735110,G,965474,G,,65158,5,2010
635620368,G,12536402,G,,849875,6,2010
89244945,G,1955336,G,,151973,8,2010
79918588,G,1436992,G,,89234,9,2010
17166760,G,359007,G,,24290,10,2010
30987176,G,463076,G,,21502,11,2010
252973227,G,6626558,G,,491150,12,2010
