ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
160975,G,4312,G,,100,1,2011
1888,H,58,G,,14,2,2011
2631,G,74,H,,5,4,2011
127687,G,3652,G,,114,5,2011
126886,G,2807,G,,82,6,2011
11999,G,385,G,,37,8,2011
10017,H,164,G,,16,9,2011
60953,G,1715,G,,56,12,2011
196441,H,4778,H,,113,13,2011
0,D,0,D,B,4,15,2011
74529,G,1946,G,,60,16,2011
15435,H,446,G,,53,17,2011
49796,G,1592,G,,91,18,2011
10491,G,317,G,,28,19,2011
174,G,0,S,A,7,20,2011
71629,G,2605,G,,139,21,2011
72894,G,1860,G,,61,22,2011
65033,G,1805,G,,71,23,2011
19335,G,521,G,,27,24,2011
12354,H,335,H,,31,25,2011
64008,H,1794,H,,118,26,2011
29651,H,792,G,,56,27,2011
147392,G,3940,G,,109,28,2011
52258,G,1790,G,,203,29,2011
43448,G,1214,G,,48,30,2011
1151,H,44,H,,9,31,2011
0,D,0,D,C,2,32,2011
20034,H,582,H,,44,33,2011
1521,H,0,S,B,6,34,2011
591,G,33,H,,10,35,2011
37784,G,1228,G,,99,36,2011
153891,G,4330,G,,158,37,2011
46453,G,1505,G,,98,39,2011
11115,H,363,H,,21,40,2011
238447,G,5253,G,,121,41,2011
128110,G,4188,G,,270,42,2011
4071,H,84,H,,4,44,2011
94525,G,2472,G,,61,45,2011
0,D,0,D,E,13,46,2011
56018,G,2007,G,,159,47,2011
106051,G,2853,G,,98,48,2011
2012,H,62,H,,13,49,2011
17815,G,478,H,,35,50,2011
133666,G,3722,G,,158,51,2011
277310,G,5948,G,,134,53,2011
63384,G,2295,H,,99,54,2011
72481,G,2179,G,,141,55,2011
7195,H,0,S,C,9,56,2011
147998,G,4036,G,,107,1,2010
1881,H,52,G,,12,2,2010
4638,H,120,H,,7,4,2010
121277,G,3410,G,,117,5,2010
126320,G,2908,G,,87,6,2010
14539,H,384,H,,36,8,2010
10268,H,151,H,,15,9,2010
0,D,0,D,A,1,10,2010
57426,G,1622,G,,55,12,2010
186260,H,4776,H,,123,13,2010
0,D,0,D,B,3,15,2010
79889,G,2011,G,,60,16,2010
13595,G,466,H,,54,17,2010
60306,G,1754,G,,97,18,2010
9853,G,283,G,,28,19,2010
298,G,32,G,,8,20,2010
67943,G,2542,G,,137,21,2010
72551,G,1863,G,,65,22,2010
65278,G,1720,G,,70,23,2010
17151,G,419,G,,26,24,2010
15480,H,306,G,,33,25,2010
61050,G,1695,G,,117,26,2010
28044,H,725,G,,59,27,2010
129650,G,3484,G,,112,28,2010
43455,G,1722,G,,203,29,2010
39879,G,1122,G,,52,30,2010
1049,H,33,H,,10,31,2010
0,D,0,D,C,2,32,2010
20351,H,584,H,,46,33,2010
2370,G,53,G,,7,34,2010
586,G,33,G,,11,35,2010
39294,G,1198,G,,101,36,2010
149914,G,4313,G,,161,37,2010
0,D,0,D,A,1,38,2010
48200,G,1641,G,,110,39,2010
13092,H,565,H,,21,40,2010
234847,G,5437,G,,125,41,2010
130691,G,4125,G,,282,42,2010
3802,H,81,H,,4,44,2010
89912,G,2289,G,,61,45,2010
0,D,0,D,E,13,46,2010
54073,G,1986,G,,178,47,2010
138309,G,3487,G,,112,48,2010
1356,H,0,S,B,11,49,2010
18399,G,460,H,,38,50,2010
129219,G,3709,G,,163,51,2010
257306,G,5765,G,,143,53,2010
64851,G,2255,G,,110,54,2010
69458,G,2072,G,,140,55,2010
6949,H,0,S,C,8,56,2010
143473,G,4741,G,,121,1,2009
2751,G,71,G,,15,2,2009
4516,G,132,H,,9,4,2009
144234,G,4329,G,,134,5,2009
126335,H,3107,H,,91,6,2009
16825,H,439,H,,35,8,2009
4724,G,107,G,,16,9,2009
0,D,0,D,A,1,10,2009
54256,G,1617,G,,60,12,2009
164640,H,4941,H,,124,13,2009
0,D,0,D,B,3,15,2009
74855,G,2119,G,,58,16,2009
15714,G,513,G,,59,17,2009
56876,G,1898,G,,97,18,2009
8238,G,298,G,,28,19,2009
1730,H,75,H,,10,20,2009
66033,G,2562,G,,144,21,2009
69689,G,2076,G,,72,22,2009
57767,G,1551,G,,74,23,2009
16120,G,487,G,,26,24,2009
13544,G,343,G,,34,25,2009
51657,H,1703,H,,119,26,2009
24631,H,710,G,,55,27,2009
127776,G,3983,G,,112,28,2009
37784,G,1683,G,,199,29,2009
43548,G,1351,G,,55,30,2009
951,H,0,S,B,8,31,2009
0,D,0,D,C,2,32,2009
17727,H,526,G,,44,33,2009
2556,G,49,G,,8,34,2009
661,G,0,S,B,11,35,2009
33791,G,1115,G,,105,36,2009
141316,G,4472,G,,167,37,2009
48768,G,1801,G,,116,39,2009
12640,H,633,G,,21,40,2009
