ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
1723,H,40,H,,3,1,2011
0,D,0,D,C,6,4,2011
0,D,0,D,B,3,5,2011
83535,G,1923,G,,44,6,2011
0,D,0,D,C,7,8,2011
3536,H,0,S,B,4,9,2011
0,D,0,D,B,1,10,2011
6464,H,120,G,,21,12,2011
11723,G,233,G,,16,13,2011
50834,G,946,G,,38,17,2011
0,D,0,D,C,6,18,2011
0,D,0,D,B,2,19,2011
19213,G,343,G,,5,20,2011
15869,G,284,G,,8,21,2011
0,D,0,D,A,2,22,2011
2987,H,56,H,,4,24,2011
15604,G,257,G,,14,25,2011
0,D,0,D,E,8,26,2011
14154,G,236,G,,9,27,2011
18685,H,0,S,E,14,29,2011
0,D,0,D,A,1,31,2011
0,D,0,D,B,4,32,2011
0,D,0,D,B,2,33,2011
22639,H,364,G,,25,34,2011
0,D,0,D,A,1,35,2011
14923,G,268,G,,18,36,2011
28036,G,783,G,,20,37,2011
45728,G,815,G,,30,39,2011
0,D,0,D,A,1,40,2011
22440,H,498,H,,11,41,2011
11241,G,214,G,,19,42,2011
0,D,0,D,A,1,44,2011
0,D,0,D,C,6,45,2011
0,D,0,D,A,1,46,2011
3139,G,79,H,,13,47,2011
21844,G,378,G,,26,48,2011
1992,G,44,H,,4,49,2011
87021,H,1599,H,,13,51,2011
0,D,0,D,A,1,53,2011
19464,G,343,G,,17,55,2011
0,D,0,D,B,3,1,2010
0,D,0,D,B,5,4,2010
0,D,0,D,C,3,5,2010
91924,G,2317,G,,45,6,2010
0,D,0,D,C,7,8,2010
3967,H,0,S,B,4,9,2010
0,D,0,D,B,1,10,2010
9226,H,171,G,,22,12,2010
12022,G,351,H,,17,13,2010
62106,G,1147,G,,40,17,2010
0,D,0,D,C,6,18,2010
0,D,0,D,E,4,19,2010
20237,G,333,G,,5,20,2010
16958,H,316,H,,9,21,2010
0,D,0,D,A,2,22,2010
0,D,0,D,A,1,23,2010
4301,H,60,H,,5,24,2010
15205,G,260,H,,15,25,2010
0,D,0,D,E,8,26,2010
18773,G,328,G,,11,27,2010
14182,H,331,G,,14,29,2010
0,D,0,D,A,1,31,2010
0,D,0,D,B,4,32,2010
0,D,0,D,B,2,33,2010
24002,H,420,H,,27,34,2010
0,D,0,D,A,1,35,2010
15324,G,277,G,,19,36,2010
31548,G,617,G,,20,37,2010
50888,H,915,H,,31,39,2010
0,D,0,D,A,1,40,2010
36114,G,879,G,,15,41,2010
14183,H,302,H,,18,42,2010
0,D,0,D,A,1,44,2010
0,D,0,D,C,6,45,2010
0,D,0,D,A,1,46,2010
19618,H,485,H,,14,47,2010
19170,G,399,G,,24,48,2010
2025,G,50,H,,4,49,2010
79736,H,1678,H,,14,51,2010
0,D,0,D,A,3,53,2010
18628,G,336,G,,17,55,2010
2160,H,0,S,B,4,1,2009
0,D,0,D,B,5,4,2009
0,D,0,D,C,4,5,2009
144537,H,3550,H,,56,6,2009
0,D,0,D,C,7,8,2009
7041,H,0,S,C,6,9,2009
0,D,0,D,B,1,10,2009
8946,H,172,H,,23,12,2009
24284,H,573,H,,19,13,2009
91232,H,1812,H,,40,17,2009
0,D,0,D,C,5,18,2009
0,D,0,D,E,6,19,2009
19201,G,336,G,,5,20,2009
15635,H,300,H,,9,21,2009
847,G,0,S,A,3,22,2009
0,D,0,D,A,1,23,2009
4774,H,78,H,,6,24,2009
27842,H,602,H,,15,25,2009
12016,G,270,G,,12,26,2009
13020,H,246,H,,9,27,2009
15677,G,299,H,,16,29,2009
0,D,0,D,A,2,31,2009
15944,H,382,H,,5,32,2009
0,D,0,D,B,2,33,2009
36855,H,0,S,F,28,34,2009
0,D,0,D,A,2,35,2009
15017,G,291,G,,21,36,2009
31757,G,658,G,,20,37,2009
52151,H,918,H,,32,39,2009
0,D,0,D,A,1,40,2009
0,D,0,D,F,15,41,2009
15362,H,269,H,,19,42,2009
0,D,0,D,B,1,44,2009
0,D,0,D,E,8,45,2009
0,D,0,D,A,1,46,2009
0,D,0,D,F,17,47,2009
23808,G,415,G,,28,48,2009
2313,G,54,G,,5,49,2009
75108,H,1515,H,,13,51,2009
0,D,0,D,A,2,53,2009
20140,G,380,G,,18,55,2009
2195,H,52,H,,4,1,2008
0,D,0,D,B,5,4,2008
0,D,0,D,B,4,5,2008
79192,G,1725,G,,47,6,2008
0,D,0,D,C,7,8,2008
0,D,0,D,C,2,9,2008
0,D,0,D,C,1,10,2008
8195,H,176,G,,22,12,2008
8808,H,199,G,,16,13,2008
64324,G,1288,G,,40,17,2008
0,D,0,D,C,7,18,2008
0,D,0,D,C,3,19,2008
19092,H,298,G,,4,20,2008
12914,H,261,H,,8,21,2008
0,D,0,D,A,2,22,2008
0,D,0,D,A,1,23,2008
6405,H,101,H,,8,24,2008
15886,G,263,G,,14,25,2008
6405,H,185,H,,9,26,2008
12969,H,274,H,,9,27,2008
14659,H,301,H,,15,29,2008
0,D,0,D,B,2,31,2008
0,D,0,D,B,5,32,2008
0,D,0,D,B,2,33,2008
