ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
6772,H,192,H,,29,1,2011
0,D,0,D,A,1,2,2011
8470,H,259,H,,30,4,2011
356,G,0,S,A,14,5,2011
31845,H,1037,H,,121,6,2011
2119,G,78,H,,20,8,2011
784,H,29,H,,7,9,2011
196,H,0,S,A,5,10,2011
14712,H,424,G,,81,12,2011
7375,G,267,G,,46,13,2011
0,D,0,D,A,2,15,2011
307,G,13,G,,3,16,2011
12404,G,345,G,,30,17,2011
2341,G,92,G,,16,18,2011
0,D,0,D,A,5,19,2011
461,H,25,H,,5,20,2011
2939,H,92,H,,13,21,2011
0,D,0,D,A,3,22,2011
470,G,0,S,B,4,23,2011
3794,H,0,S,B,12,24,2011
0,D,0,D,C,17,25,2011
13889,G,485,H,,36,26,2011
4007,H,0,S,C,10,27,2011
3778,G,161,G,,16,28,2011
4002,H,144,H,,22,29,2011
0,D,0,D,B,3,30,2011
0,D,0,D,A,3,31,2011
8633,H,329,H,,15,32,2011
1089,G,42,G,,6,33,2011
3967,H,0,S,C,23,34,2011
628,G,35,H,,7,35,2011
8215,G,263,H,,49,36,2011
0,D,0,D,C,36,37,2011
0,D,0,D,A,1,38,2011
7234,G,265,H,,33,39,2011
2123,H,0,S,B,17,40,2011
2178,G,102,G,,14,41,2011
3408,G,143,H,,30,42,2011
0,D,0,D,A,2,44,2011
1620,H,77,H,,18,45,2011
293,H,0,S,A,4,46,2011
6707,H,237,H,,31,47,2011
18745,G,705,G,,102,48,2011
5215,H,0,S,C,12,49,2011
157,H,0,S,A,3,50,2011
7393,H,0,S,C,22,51,2011
3308,G,116,H,,26,53,2011
734,H,37,H,,4,54,2011
725,G,41,G,,5,55,2011
0,D,0,D,A,1,56,2011
4104,G,136,H,,23,1,2010
0,D,0,D,A,2,2,2010
10256,H,293,H,,31,4,2010
512,G,0,S,B,11,5,2010
40061,G,1252,G,,123,6,2010
3015,G,99,H,,22,8,2010
823,H,26,H,,7,9,2010
0,D,0,D,A,5,10,2010
17640,H,510,H,,86,12,2010
7402,G,258,G,,43,13,2010
0,D,0,D,A,1,15,2010
527,G,28,H,,5,16,2010
12103,G,333,G,,32,17,2010
1887,G,0,S,B,16,18,2010
0,D,0,D,A,4,19,2010
637,H,33,H,,5,20,2010
3181,H,104,G,,17,21,2010
0,D,0,D,B,5,22,2010
579,G,29,H,,3,23,2010
4469,H,116,H,,13,24,2010
0,D,0,D,C,15,25,2010
15430,G,523,G,,38,26,2010
3219,H,0,S,B,10,27,2010
5216,G,229,G,,15,28,2010
4383,H,174,H,,26,29,2010
0,D,0,D,B,5,30,2010
0,D,0,D,A,3,31,2010
11706,H,380,H,,15,32,2010
1355,G,41,G,,6,33,2010
4892,G,137,G,,22,34,2010
811,G,29,G,,4,35,2010
8176,G,278,H,,53,36,2010
5664,H,215,H,,37,37,2010
0,D,0,D,A,1,38,2010
7652,G,287,H,,40,39,2010
2079,H,0,S,C,23,40,2010
3195,G,119,G,,12,41,2010
3754,G,140,G,,27,42,2010
0,D,0,D,A,2,44,2010
2131,H,93,H,,18,45,2010
382,H,0,S,A,6,46,2010
7570,H,268,H,,33,47,2010
23624,G,898,G,,104,48,2010
5753,H,0,S,C,14,49,2010
0,D,0,D,A,4,50,2010
5694,H,0,S,C,28,51,2010
4410,G,143,H,,27,53,2010
970,H,46,H,,4,54,2010
1146,H,45,H,,4,55,2010
0,D,0,D,A,2,56,2010
3839,G,131,G,,25,1,2009
0,D,0,D,A,1,2,2009
10738,H,392,H,,30,4,2009
526,G,26,H,,8,5,2009
44265,G,1307,G,,114,6,2009
3094,G,121,G,,25,8,2009
0,D,0,D,B,7,9,2009
403,H,0,S,A,5,10,2009
20840,H,551,H,,88,12,2009
10028,G,300,G,,41,13,2009
0,D,0,D,A,1,15,2009
682,H,0,S,B,5,16,2009
11253,G,274,G,,36,17,2009
2169,G,78,H,,14,18,2009
0,D,0,D,A,4,19,2009
772,H,31,G,,6,20,2009
2964,G,95,G,,23,21,2009
0,D,0,D,B,4,22,2009
690,G,0,S,B,3,23,2009
3547,G,98,H,,14,24,2009
0,D,0,D,C,13,25,2009
15053,G,515,G,,31,26,2009
3181,H,110,H,,12,27,2009
5993,G,228,G,,13,28,2009
5023,H,0,S,C,24,29,2009
0,D,0,D,B,4,30,2009
0,D,0,D,A,2,31,2009
11810,H,461,H,,14,32,2009
1563,G,46,H,,6,33,2009
5762,G,174,G,,22,34,2009
931,G,53,H,,7,35,2009
9037,G,0,S,E,51,36,2009
7786,H,245,H,,45,37,2009
0,D,0,D,A,1,38,2009
7304,H,244,H,,32,39,2009
2517,H,115,H,,20,40,2009
3917,G,132,H,,12,41,2009
4208,G,150,G,,29,42,2009
90,H,5,G,,3,44,2009
2697,H,0,S,B,17,45,2009
314,H,0,S,A,5,46,2009
5577,G,183,G,,32,47,2009
27435,G,881,G,,104,48,2009
5670,H,0,S,C,14,49,2009
0,D,0,D,A,3,50,2009
6644,H,0,S,C,30,51,2009
4872,G,141,G,,23,53,2009
1108,H,35,H,,4,54,2009
1382,H,38,H,,5,55,2009
0,D,0,D,A,2,56,2009
3310,G,121,H,,26,1,2008
0,D,0,D,A,1,2,2008
7936,G,200,H,,23,4,2008
695,H,25,H,,7,5,2008
38221,G,988,G,,122,6,2008
3350,G,103,H,,24,8,2008
0,D,0,D,B,6,9,2008
273,G,15,G,,5,10,2008
15453,G,434,G,,80,12,2008
8626,G,307,G,,42,13,2008
0,D,0,D,A,1,15,2008
829,H,35,H,,6,16,2008
8703,G,255,G,,31,17,2008
2455,G,82,G,,13,18,2008
0,D,0,D,A,5,19,2008
630,H,0,S,B,4,20,2008
2836,G,97,H,,20,21,2008
0,D,0,D,B,7,22,2008
610,H,23,G,,3,23,2008
2860,G,96,G,,13,24,2008
0,D,0,D,C,18,25,2008
12101,H,396,H,,28,26,2008
2822,H,97,G,,10,27,2008
4562,G,142,H,,13,28,2008
2892,H,84,H,,18,29,2008
0,D,0,D,B,4,30,2008
