ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
22780,G,996,G,,81,1,2011
11264,G,251,G,,47,2,2011
46346,G,1857,G,,99,4,2011
11158,H,375,G,,62,5,2011
532093,G,15162,G,,627,6,2011
76092,G,2572,G,,138,8,2011
61611,G,2126,G,,129,9,2011
22116,H,771,H,,34,10,2011
48497,G,1297,G,,44,11,2011
181550,G,6303,G,,335,12,2011
78260,G,3068,G,,137,13,2011
47894,G,1924,G,,54,15,2011
3797,G,162,H,,41,16,2011
204029,G,5742,G,,197,17,2011
62006,H,2241,G,,143,18,2011
17664,G,786,G,,114,19,2011
13342,G,781,G,,139,20,2011
27612,G,1123,G,,88,21,2011
49252,G,1923,H,,98,22,2011
17034,G,563,G,,112,23,2011
51948,G,1783,G,,99,24,2011
167846,G,5215,G,,263,25,2011
84859,G,3721,G,,191,26,2011
70522,G,2890,H,,201,27,2011
10139,G,453,H,,61,28,2011
65970,G,2277,G,,150,29,2011
6980,G,318,G,,74,30,2011
29841,H,1384,H,,78,31,2011
11725,G,411,G,,37,32,2011
12364,H,504,H,,74,33,2011
40857,G,1596,G,,130,34,2011
14474,G,477,H,,65,35,2011
685690,G,15851,G,,600,36,2011
74322,H,2666,G,,198,37,2011
4637,G,235,G,,39,38,2011
158470,G,5659,G,,255,39,2011
25790,G,1041,G,,96,40,2011
41126,G,1495,G,,127,41,2011
184035,G,6436,G,,357,42,2011
19726,H,486,G,,50,44,2011
31150,G,1410,G,,91,45,2011
10794,G,328,G,,58,46,2011
75747,G,2933,G,,141,47,2011
223544,G,8323,G,,423,48,2011
12809,G,604,G,,37,49,2011
11320,G,346,G,,51,50,2011
138229,H,4852,H,,220,51,2011
80044,G,2813,G,,161,53,2011
2952,G,0,S,C,41,54,2011
44499,G,1801,G,,189,55,2011
9706,H,303,H,,47,56,2011
21730,G,986,G,,79,1,2010
10858,G,277,G,,51,2,2010
44327,G,1746,G,,94,4,2010
9378,H,408,G,,62,5,2010
512633,G,14607,G,,616,6,2010
69751,G,2413,G,,140,8,2010
60094,G,2142,G,,132,9,2010
21819,H,757,G,,35,10,2010
45965,G,1237,G,,44,11,2010
171350,G,6033,G,,340,12,2010
75657,G,2865,G,,142,13,2010
46223,G,1835,G,,53,15,2010
3699,G,178,H,,41,16,2010
206149,G,5835,G,,197,17,2010
60552,G,2246,G,,140,18,2010
18264,G,870,G,,116,19,2010
12955,G,760,G,,133,20,2010
28021,H,1164,G,,88,21,2010
45423,H,1842,H,,93,22,2010
16431,G,551,G,,109,23,2010
51999,G,1831,G,,101,24,2010
164280,G,5335,G,,266,25,2010
83561,G,3580,G,,190,26,2010
68335,G,2724,G,,197,27,2010
9288,G,435,H,,63,28,2010
66377,G,2226,G,,154,29,2010
6592,G,331,G,,73,30,2010
29667,H,1340,H,,77,31,2010
10423,G,399,G,,34,32,2010
11846,H,473,H,,73,33,2010
41003,G,1696,G,,132,34,2010
14534,G,519,H,,67,35,2010
624159,G,15206,G,,602,36,2010
71592,H,2650,G,,203,37,2010
4653,G,256,G,,41,38,2010
153648,G,5617,G,,272,39,2010
22513,G,1040,G,,92,40,2010
38052,G,1502,G,,129,41,2010
177528,G,6261,G,,354,42,2010
15779,G,482,G,,51,44,2010
29067,G,1280,G,,90,45,2010
9378,G,300,G,,62,46,2010
71507,G,2679,G,,139,47,2010
216019,G,8127,G,,411,48,2010
12370,G,538,G,,41,49,2010
10755,G,356,G,,50,50,2010
135213,H,4933,H,,218,51,2010
75501,G,2660,G,,161,53,2010
3079,G,145,H,,42,54,2010
42750,G,1858,G,,193,55,2010
9914,H,339,H,,44,56,2010
21875,G,1035,H,,79,1,2009
10980,G,283,G,,50,2,2009
43931,G,1819,G,,95,4,2009
8285,G,385,H,,61,5,2009
514442,G,14858,G,,619,6,2009
67622,G,2421,G,,145,8,2009
64220,G,2257,G,,135,9,2009
22083,H,836,G,,36,10,2009
42646,G,1175,G,,41,11,2009
173908,G,6233,G,,340,12,2009
78048,G,2957,G,,143,13,2009
46165,G,1867,G,,57,15,2009
3685,G,172,H,,41,16,2009
209664,G,5877,G,,195,17,2009
61488,G,2225,G,,149,18,2009
18226,G,942,G,,117,19,2009
13099,G,717,H,,134,20,2009
27485,H,1292,H,,89,21,2009
42085,H,1733,H,,95,22,2009
15983,G,532,G,,108,23,2009
53679,G,1990,G,,105,24,2009
166038,G,5515,G,,272,25,2009
84522,G,3835,G,,191,26,2009
65163,G,2706,H,,195,27,2009
8787,G,427,H,,61,28,2009
63964,G,2182,G,,147,29,2009
6394,G,323,G,,74,30,2009
28909,H,1510,H,,76,31,2009
10010,G,400,G,,34,32,2009
11446,H,475,H,,71,33,2009
44838,G,1868,G,,132,34,2009
15410,G,552,G,,63,35,2009
669392,G,15900,G,,590,36,2009
68994,H,2659,G,,202,37,2009
4759,G,258,G,,42,38,2009
154402,G,5980,G,,269,39,2009
21511,G,946,G,,88,40,2009
37208,G,1526,G,,129,41,2009
179327,G,6629,G,,359,42,2009
15350,G,501,G,,50,44,2009
28006,G,1286,G,,90,45,2009
8885,G,282,G,,57,46,2009
67740,G,2761,G,,139,47,2009
202798,G,7674,G,,412,48,2009
12202,H,595,H,,33,49,2009
10939,G,342,G,,54,50,2009
135442,H,4947,H,,215,51,2009
75287,G,2609,G,,156,53,2009
2883,G,164,G,,41,54,2009
42104,G,1859,G,,189,55,2009
9765,H,324,H,,45,56,2009
23094,G,1066,G,,79,1,2008
11442,G,299,G,,52,2,2008
46407,G,1925,G,,97,4,2008
6854,H,340,G,,61,5,2008
515430,G,15135,G,,618,6,2008
66168,G,2487,G,,144,8,2008
65814,G,2444,G,,134,9,2008
23153,H,900,G,,36,10,2008
44247,G,1240,G,,41,11,2008
170277,G,6287,G,,337,12,2008
87620,G,3088,G,,137,13,2008
49379,G,2011,G,,53,15,2008
3784,G,190,H,,42,16,2008
210240,G,6202,G,,197,17,2008
62621,G,2281,G,,143,18,2008
18183,G,927,G,,116,19,2008
13297,G,808,G,,133,20,2008
25767,G,1216,G,,92,21,2008
42147,H,1720,H,,89,22,2008
16311,G,533,G,,110,23,2008
52147,G,1967,G,,103,24,2008
172351,G,5665,G,,272,25,2008
85417,G,3846,G,,185,26,2008
76808,H,2841,H,,200,27,2008
8438,G,399,H,,58,28,2008
62289,G,2243,G,,152,29,2008
6670,G,347,G,,70,30,2008
28936,H,1546,H,,74,31,2008
10912,G,430,G,,34,32,2008
11988,H,492,H,,74,33,2008
48613,G,2011,G,,131,34,2008
16220,G,616,H,,69,35,2008
660662,G,16538,G,,598,36,2008
73759,H,2970,G,,195,37,2008
4913,G,276,G,,43,38,2008
155982,G,6187,G,,264,39,2008
21798,G,965,H,,89,40,2008
41784,G,1665,G,,133,41,2008
180298,G,6420,G,,356,42,2008
15585,G,571,G,,51,44,2008
28028,G,1332,G,,89,45,2008
8725,G,302,G,,57,46,2008
71860,G,3927,G,,132,47,2008
198023,G,7657,G,,404,48,2008
12388,H,542,G,,27,49,2008
10836,G,350,G,,55,50,2008
143819,H,5189,H,,217,51,2008
78055,G,2716,G,,161,53,2008
2958,G,177,H,,39,54,2008
42946,G,1832,G,,182,55,2008
10056,H,348,H,,47,56,2008
20524,G,1011,H,,80,1,2007
8104,G,267,H,,48,2,2007
44737,G,1877,G,,103,4,2007
5992,G,328,H,,55,5,2007
467875,G,15102,G,,644,6,2007
62628,G,2396,G,,141,8,2007
64130,G,2432,G,,131,9,2007
20431,H,867,G,,34,10,2007
42805,G,1195,G,,42,11,2007
157296,G,6082,G,,353,12,2007
86067,G,2929,G,,144,13,2007
50113,H,2714,H,,59,15,2007
3414,G,156,H,,38,16,2007
207514,G,6299,G,,198,17,2007
55516,G,2183,G,,142,18,2007
19567,G,997,G,,120,19,2007
12866,G,767,G,,129,20,2007
24731,G,1204,G,,89,21,2007
37001,H,1570,H,,99,22,2007
14896,G,519,G,,105,23,2007
51407,G,1909,G,,103,24,2007
164335,G,5539,G,,281,25,2007
81629,G,3736,G,,189,26,2007
73396,H,2788,H,,201,27,2007
7326,H,357,H,,59,28,2007
60545,G,2245,G,,147,29,2007
6298,G,356,G,,74,30,2007
27729,H,1535,H,,77,31,2007
10068,G,412,G,,35,32,2007
11114,G,465,G,,74,33,2007
45306,G,1768,G,,144,34,2007
17072,G,660,G,,78,35,2007
602093,G,15391,G,,596,36,2007
71099,H,2913,G,,191,37,2007
4657,G,263,G,,43,38,2007
151529,G,6055,G,,254,39,2007
20053,G,905,G,,92,40,2007
38677,G,1517,G,,125,41,2007
161815,G,6091,G,,334,42,2007
13191,H,495,G,,53,44,2007
26205,G,1261,G,,89,45,2007
8743,G,287,G,,55,46,2007
70829,G,2854,G,,132,47,2007
184850,G,7557,G,,399,48,2007
10996,H,408,G,,35,49,2007
11317,G,401,G,,58,50,2007
139434,H,5035,H,,218,51,2007
72209,G,2431,G,,165,53,2007
3123,G,173,H,,42,54,2007
34796,G,1515,G,,171,55,2007
9171,H,322,H,,44,56,2007
18948,-,987,-,,76,1,2006
7704,-,289,-,,45,2,2006
41518,-,1871,-,,109,4,2006
7076,-,262,-,,55,5,2006
429711,-,13772,-,,645,6,2006
56287,-,2126,-,,139,8,2006
60303,-,2330,-,,124,9,2006
22009,-,951,-,,35,10,2006
40489,-,1275,-,,39,11,2006
147346,-,6054,-,,331,12,2006
73068,-,2890,-,,139,13,2006
49933,-,2751,-,,60,15,2006
3032,-,152,-,,38,16,2006
192992,-,6008,-,,200,17,2006
53187,-,2115,-,,141,18,2006
18099,-,929,-,,118,19,2006
11517,-,740,-,,129,20,2006
22670,-,1094,-,,87,21,2006
30117,-,1080,-,,94,22,2006
14332,-,514,-,,97,23,2006
50755,-,1996,-,,104,24,2006
155194,-,5420,-,,272,25,2006
76531,-,3432,-,,169,26,2006
67613,-,2549,-,,191,27,2006
6427,-,352,-,,55,28,2006
61042,-,2324,-,,147,29,2006
6078,-,317,-,,75,30,2006
25056,-,1466,-,,77,31,2006
9526,-,392,-,,37,32,2006
9641,-,427,-,,74,33,2006
42658,-,1727,-,,139,34,2006
14112,-,538,-,,79,35,2006
577154,-,15356,-,,563,36,2006
65435,-,2716,-,,183,37,2006
4641,-,263,-,,40,38,2006
139159,-,5472,-,,251,39,2006
19306,-,865,-,,83,40,2006
36570,-,1496,-,,118,41,2006
148538,-,5654,-,,315,42,2006
14718,-,606,-,,55,44,2006
24589,-,1231,-,,86,45,2006
8048,-,301,-,,55,46,2006
67009,-,2776,-,,130,47,2006
173129,-,7383,-,,390,48,2006
9912,-,422,-,,34,49,2006
11723,-,429,-,,54,50,2006
126019,-,4685,-,,209,51,2006
65110,-,2410,-,,164,53,2006
3038,-,176,-,,38,54,2006
32469,-,1496,-,,157,55,2006
8337,-,310,-,,44,56,2006
17674,-,917,-,,78,1,2005
7428,-,253,-,,42,2,2005
38091,-,1772,-,,108,4,2005
0,-,0,-,E,56,5,2005
407472,-,13240,-,,632,6,2005
48752,-,1934,-,,138,8,2005
54903,-,2225,-,,123,9,2005
0,-,0,-,F,33,10,2005
39807,-,1203,-,,39,11,2005
133871,-,5509,-,,341,12,2005
61267,-,2310,-,,132,13,2005
49633,-,2733,-,,63,15,2005
0,-,0,-,C,37,16,2005
189715,-,6316,-,,192,17,2005
51112,-,2106,-,,139,18,2005
18628,-,906,-,,113,19,2005
11224,-,743,-,,126,20,2005
21352,-,1108,-,,85,21,2005
33023,-,1852,-,,91,22,2005
14150,-,512,-,,98,23,2005
48939,-,1940,-,,103,24,2005
143505,-,5729,-,,269,25,2005
76310,-,3597,-,,170,26,2005
63229,-,2264,-,,188,27,2005
0,-,0,-,E,54,28,2005
57191,-,2178,-,,138,29,2005
5558,-,315,-,,72,30,2005
20723,-,1253,-,,69,31,2005
8493,-,371,-,,36,32,2005
9619,-,432,-,,71,33,2005
42032,-,1771,-,,143,34,2005
12566,-,557,-,,70,35,2005
536992,-,14858,-,,551,36,2005
60570,-,2673,-,,180,37,2005
0,-,0,-,E,40,38,2005
136108,-,5225,-,,248,39,2005
19499,-,899,-,,85,40,2005
34642,-,1455,-,,118,41,2005
141195,-,5636,-,,307,42,2005
14340,-,628,-,,55,44,2005
23299,-,1233,-,,84,45,2005
7515,-,287,-,,56,46,2005
63120,-,2657,-,,128,47,2005
162300,-,7387,-,,388,48,2005
9513,-,436,-,,30,49,2005
10941,-,409,-,,53,50,2005
120187,-,4668,-,,204,51,2005
61765,-,2363,-,,164,53,2005
