ap,ap_nf,emp,emp_nf,empflag,est,fipstate,year
1794833,G,79528,G,,11010,1,2011
318291,G,9918,G,,1811,2,2011
2121729,G,81243,G,,10672,4,2011
928404,G,41983,G,,6590,5,2011
15935971,G,539629,G,,68697,6,2011
2767531,G,96646,G,,12908,8,2011
1821118,G,60509,G,,9285,9,2011
368245,G,14166,G,,2104,10,2011
5020837,G,72048,G,,4073,11,2011
7592822,G,295338,G,,43537,12,2011
3923458,G,150604,G,,20273,13,2011
689623,G,25407,G,,3466,15,2011
413397,G,18028,G,,3241,16,2011
7500048,G,240604,G,,31658,17,2011
2962172,G,123237,G,,16423,18,2011
1164897,G,51208,G,,9032,19,2011
1173775,G,50341,G,,7883,20,2011
1526866,G,64218,G,,9600,21,2011
1894496,G,72394,G,,9486,22,2011
457216,G,18242,G,,3606,23,2011
3729942,G,109128,G,,13253,24,2011
3541946,G,114859,G,,17100,25,2011
3891836,G,152962,G,,22817,26,2011
2714776,G,113859,G,,15097,27,2011
846232,G,38911,G,,6366,28,2011
2720865,G,110454,G,,15522,29,2011
352234,G,14907,G,,3058,30,2011
846970,G,35551,G,,5589,31,2011
858658,G,30743,G,,4156,32,2011
579065,G,21156,G,,3553,33,2011
4134060,G,144659,G,,22856,34,2011
662529,G,26592,G,,4065,35,2011
11666400,G,353913,G,,54243,36,2011
3439400,G,144684,G,,22187,37,2011
289729,G,12770,G,,2412,38,2011
4818187,G,200600,G,,27694,39,2011
1381163,G,60552,G,,8810,40,2011
1555595,G,60820,G,,9446,41,2011
5938338,G,237738,G,,35277,42,2011
474815,G,16727,G,,2817,44,2011
1760359,G,76334,G,,11013,45,2011
309411,G,14164,G,,2647,46,2011
2620529,G,107533,G,,13863,47,2011
11080657,G,410598,G,,48089,48,2011
1472830,G,46076,G,,4566,49,2011
234923,G,8953,G,,2014,50,2011
5489239,G,163037,G,,21105,51,2011
3107614,G,107306,G,,16379,53,2011
571527,G,25775,G,,4525,54,2011
2493223,G,106376,G,,14725,55,2011
266860,G,8773,G,,1799,56,2011
1759918,G,80690,G,,11093,1,2010
305693,G,9860,G,,1773,2,2010
2084401,G,81205,G,,10661,4,2010
909449,G,42418,G,,6656,5,2010
15586208,G,540180,G,,68825,6,2010
2728831,G,96720,G,,12916,8,2010
1803156,G,60716,G,,9291,9,2010
